text,intent
where can I check the damn withdrawal charges?,check_cancellation_fee
i cannot check the refund current status,track_refund
I don't know how I can see the termination fee,check_cancellation_fee
need help seeing in what situations can i ask to be refunded,check_refund_policy
canceling order {{Order Number}},cancel_order
I need support trying to edit my shipping address,change_shipping_address
deliveries to {{Delivery City}},delivery_options
I do not know what to do to check the bloody withdrawal fee,check_cancellation_fee
i have gog to speak to customer support,contact_customer_service
is it possible to cancel order {{Order Number}}?,cancel_order
how do i notify of errors with payment,payment_issue
where do I cancel purchase {{Order Number}}?,cancel_order
wanna notify of a trouble with online payments,payment_issue
nded to check the termination penalties how to do it,check_cancellation_fee
checking status of refund,track_refund
I would like to see what hours I can call customer support,contact_customer_service
I have to see the withdrawal penalty,check_cancellation_fee
I want help to notify of an issue with payments,payment_issue
i expect a restitution of {{Refund Amount}} dollafs,track_refund
I don't know how I colud cancel order {{Order Number}},cancel_order
can you help me canceling purchase {{Order Number}}?,cancel_order
can i place an order frim {{Delivery Country}},delivery_options
show the available methods for shipment,delivery_options
can you tell me at what time I can call customer assistance?,contact_customer_service
need help to check what hours customer service available is,contact_customer_service
wanna check how long reimbursenents take how to do it,check_refund_policy
I'm waiting for a  compensation of {{Currency Symbol}}{{Refund Amount}},track_refund
is it possible to order from {{Delivery City}},delivery_options
help me solve a trouble with online payments,payment_issue
can i order from {{Delivery City}},delivery_options
what is ur customer assistance phone number,contact_customer_service
is it possible to order from {{Delivery City}}?,delivery_options
I have to check what hours I can reach customer support,contact_customer_service
i need assistance trying tomodify my shipping address,change_shipping_address
i have an error trying to change my address,change_shipping_address
what is the customer assistance phone number?,contact_customer_service
I don't know how to see what delivery methods I have,delivery_options
I want helo to check the cancellation fee,check_cancellation_fee
"I have to see your money back guarantee, help me",check_refund_policy
I want support modifying my address,change_shipping_address
can huelp me check ur refund policy,check_refund_policy
canmcel order {{Order Number}},cancel_order
can you help me checking what shipping options I have?,delivery_options
I want help calling customer support,contact_customer_service
I do not know how to get in touch with customer service,contact_customer_service
i cannot find the early exit fee,check_cancellation_fee
show ur money back guarantee,check_refund_policy
there are issues updating my address,change_shipping_address
i dont know whatto do to talk to customer assistance,contact_customer_service
I have to see the current status of my reimbursement,track_refund
order cancelation,cancel_order
question about cancelling purchase {{Order Number}},cancel_order
my card was declined help to inform oof a payment issue,payment_issue
I cannot find the early exit charge,check_cancellation_fee
"I can't find the early exit penalty, will you help me?",check_cancellation_fee
want supports trying to edit my address,change_shipping_address
problems with cancelling purchase {{Order Number}},cancel_order
"I want to check your reimbursement policy, how do I do it?",check_refund_policy
help trying to modify the delivery address,change_shipping_address
I have a trouble editing the address,change_shipping_address
can you tell me about updating my fucking shipping address?,change_shipping_address
what do I need to do to see the early termination penalty?,check_cancellation_fee
need to see hte goddamn early exit penalty how to do it,check_cancellation_fee
help me informing of a payment problem,payment_issue
where do I correct the fucking shipping address?,change_shipping_address
"I have to see the early termination fees, help me",check_cancellation_fee
help me canceling purchase {{Order Number}},cancel_order
I am trying to check what delivery methods are available,delivery_options
want help to report a trouble with online payment,payment_issue
how to check the fucking early termination charge?,check_cancellation_fee
I don't know how I can cancel purchase {{Order Number}},cancel_order
I need help canceling order {{Order Number}},cancel_order
I do not know how to check the cancellation  penalties,check_cancellation_fee
I have errors trying to modify my shipping address,change_shipping_address
"I want to see in what cases can I request a refund, help me",check_refund_policy
where do i report an issue with paynents,payment_issue
how do I check what hours customer service available is?,contact_customer_service
I exxpect a rebate of {{Currency Symbol}}{{Refund Amount}},track_refund
want assistance checking your reimbursement plicy,check_refund_policy
I am waiting for a reimbursement of {{Refund Amount}} dollras,track_refund
I'm waiting for a restitution of {{Refund Amount}} dollras,track_refund
I want help seeing the restitution status,track_refund
I don't know what to do to speak with cusstomer service,contact_customer_service
what do I need to do to report payment problems?,payment_issue
can you help me reporting problems with online payment?,payment_issue
i need help with cancelling order {{Order Number}},cancel_order
what do I have to do to check your reimbursement policy?,check_refund_policy
I am trying to see what hours I can contact customet service,contact_customer_service
I am waiting for a refnd of {{Refund Amount}} dollars,track_refund
assistance checking your reimbursement policy,check_refund_policy
i expect an rebate of {{Refund Amount}} dollars,track_refund
I want help to check what hours I can reach customer service,contact_customer_service
check at what time i can reach ucstomer service,contact_customer_service
I am waiting for a reimburswment of {{Currency Symbol}}{{Refund Amount}},track_refund
need to checkin which situations can i ask to be refunded,check_refund_policy
where to see what shipping methods you offer?,delivery_options
could you help menotifying of troubles with online payment?,payment_issue
help me see what hours I can reach customer support,contact_customer_service
how to notify of a trouble with online payment,payment_issue
I want to know if there are any news on my refund,track_refund
I want to notify of troubles with online payments,payment_issue
i have a problem with an adress update,change_shipping_address
i expect a refund of {{Refund Amount}} dollars has it been processed,track_refund
I want to cancel purchase {{Order Number}},cancel_order
could you help me canceling purchase {{Order Number}}?,cancel_order
I want to check in what cases can I request refunds,check_refund_policy
help me seeing in what cases can I request reimbursements,check_refund_policy
support coprrecting the address,change_shipping_address
under what circumstances can I ask to be reimbursed?,check_refund_policy
assistance trying to change the shipping address,change_shipping_address
"I want to see your damn money back policy, I need help",check_refund_policy
show me in which cases can I ask for my money back,check_refund_policy
help me see the early termination penalties,check_cancellation_fee
I can no longer afford order {{Order Number}},cancel_order
can I see in which situations can I request to be refunded?,check_refund_policy
I expect a compensation of {{Currency Symbol}}{{Refund Amount}},track_refund
I want assistance checking my refund status,track_refund
can i place an oeder from {{Delivery City}},delivery_options
i need help calling customer service,contact_customer_service
